,CLOSE
2018-09-06,7.99
2018-09-07,7.79
2018-09-10,7.59
2018-09-11,7.54
2018-09-12,7.57
2018-09-13,7.4
2018-09-14,7.68
2018-09-17,7.52
2018-09-18,7.83
2018-09-19,8.09
2018-09-20,8.07
2018-09-21,8.31
2018-09-25,8.11
2018-09-26,8.27
2018-09-27,8.24
2018-09-28,8.51
2018-10-08,7.95
2018-10-09,7.77
2018-10-10,7.72
2018-10-11,7.29
2018-10-12,7.58
2018-10-15,7.43
2018-10-16,7.33
2018-10-17,7.55
2018-10-18,7.33
2018-10-19,7.48
2018-10-22,7.81
2018-10-23,7.39
2018-10-24,7.14
2018-10-25,7.08
2018-10-26,6.88
2018-10-29,6.41
2018-10-30,5.86
2018-10-31,6.0
2018-11-01,6.17
2018-11-02,6.77
2018-11-05,6.49
2018-11-06,6.28
2018-11-07,6.29
2018-11-08,6.14
2018-11-09,5.72
2018-11-12,5.84
2018-11-13,6.25
2018-11-14,6.1
2018-11-15,6.17
2018-11-16,6.22
2018-11-19,6.31
2018-11-20,6.0
2018-11-21,6.01
2018-11-22,6.07
2018-11-23,5.86
2018-11-26,5.84
2018-11-27,5.8
2018-11-28,5.9
2018-11-29,5.74
2018-11-30,5.75
2018-12-03,6.24
2018-12-04,6.15
2018-12-05,6.09
2018-12-06,5.86
2018-12-07,5.88
2018-12-10,5.89
2018-12-11,6.12
2018-12-12,6.12
2018-12-13,6.15
2018-12-14,6.24
2018-12-17,6.34
2018-12-18,6.1
2018-12-19,5.97
2018-12-20,5.99
2018-12-21,5.71
2018-12-24,5.67
2018-12-25,5.72
2018-12-26,5.61
2018-12-27,5.33
2018-12-28,5.24
2019-01-02,5.02
2019-01-03,5.1
